sym,date,last,stop,zlsma,atr,adx,pdi,ndi,regime,pct200,advol,f5,f10,f21
AAPL,2026-04-01,255.63,249.93,246.4152,5.2452,20.8214,20.0997,23.9804,REPAIR,2.72,10479490537,1.9012,3.0395,9.5881
MSFT,2026-04-13,384.37,364.4228,388.6898,9.0406,27.8426,27.6626,27.4909,DEEP-FAIL,-18.8466,12351380500,8.7676,10.5237,6.0879
MSFT,2026-05-15,421.92,401.58,427.8983,11.4102,16.2401,34.4918,25.0728,REPAIR,-8.8987,14573058470,-0.794,9.1487,-6.6577
NVDA,2026-04-01,175.75,169.81,170.4531,5.4503,22.0557,23.0557,31.4596,REPAIR,-2.1732,31901762164,4.643,12.8592,12.9161
NVDA,2026-05-06,207.83,184.3,215.0366,6.9102,22.2694,28.3213,18.5648,PASS,12.7755,31031369433,8.6609,7.5254,-1.3136
NVDA,2026-06-01,224.36,205.6518,231.547,8.1881,22.5177,27.6305,17.8372,PASS,19.4249,38242658969,-7.0066,-5.3084,-11.9362
AMD,2026-03-19,205.27,188.41,178.0915,8.705,14.3907,21.8668,23.2564,REPAIR,6.6062,7194167718,-0.7307,5.958,33.9455
AMD,2026-05-26,503.89,424.99,515.5009,32.5238,46.7311,42.256,14.7759,PASS,116.6954,21057413974,3.5027,-5.6332,5.6917
AMD,2026-06-12,511.57,445.05,530.46,35.0585,32.4474,28.3286,22.5201,PASS,101.4598,16334822858,7.8308,5.4577,3.4345
MU,2026-03-16,441.8,384.34,378.9517,25.7981,21.4638,30.878,18.0786,PASS,96.6049,14187503232,-8.4767,-27.1616,3.2662
MU,2026-04-08,406.73,347.2802,350.1952,29.6375,19.4603,31.7487,27.5028,PASS,64.6158,21244566659,12.1702,19.8535,58.9826
MU,2026-05-26,895.88,696.28,877.0732,66.2013,34.9062,44.9268,17.3302,PASS,174.4093,47144388572,18.7771,4.466,35.4601
MU,2026-06-15,1087.99,876.7504,1106.393,84.0963,29.789,31.7969,18.9144,PASS,181.4542,60026742746,-3.3291,6.0938,-21.5802
AMAT,2026-03-24,373.99,332.851,344.8788,16.1946,16.0713,26.0129,19.8539,PASS,53.9974,2686326095,-8.6099,3.1364,8.0002
AMAT,2026-04-08,385.72,337.29,342.4705,18.8741,14.585,30.9828,19.563,PASS,53.2027,2445619146,2.214,4.6044,6.4606
AMAT,2026-05-05,410.82,367.65,413.5545,14.3271,16.1935,30.2905,19.0364,PASS,51.3495,2388192258,4.9608,-0.9518,22.1216
AMAT,2026-05-26,454.89,410.63,453.0231,20.1507,14.4228,33.1688,22.763,PASS,57.6177,3572439472,7.7293,9.743,46.8487
AMAT,2026-06-11,552.64,431.42,501.7373,32.4664,21.6016,31.29,12.9767,PASS,79.8822,4949479955,11.6658,13.4265,7.7917
QCOM,2026-04-14,132.84,129.07,131.607,3.3637,27.6611,20.3425,21.9821,DEEP-FAIL,-15.6409,1741672287,2.0476,12.9178,60.4712
QCOM,2026-06-18,226.11,195.69,230.8892,17.3207,24.0269,29.8676,20.0666,PASS,35.5462,5127702253,-16.2399,-17.5269,-23.2674
INTC,2026-04-01,48.03,38.75,41.6438,2.6851,10.1685,31.0359,21.1932,PASS,36.6649,4253428485,28.503,42.6192,107.412
INTC,2026-06-12,124.57,100.03,115.6278,9.8963,33.3819,32.4855,19.2744,PASS,132.8255,16217789209,13.1412,5.7397,-17.3236
ORCL,2026-04-13,155.62,136.14,155.6808,6.7906,12.3408,34.9326,26.4801,DEEP-FAIL,-28.0353,3612080460,14.1113,11.1425,20.0553
ORCL,2026-05-01,171.83,153.21,178.1655,9.392,22.2735,33.9922,21.3305,DEEP-FAIL,-19.0729,5523939738,14.0371,12.2912,42.3384
ORCL,2026-05-28,203.7,183.78,204.4287,8.4984,27.1063,35.901,17.0388,REPAIR,-1.6689,4112145371,16.0236,-9.622,-27.462
ARM,2026-03-17,127.31,113.1102,125.674,5.9864,13.1436,30.4462,24.9694,REPAIR,-7.7971,489414389,6.009,18.8281,27.5077
ARM,2026-06-12,380.81,293.67,396.1513,40.4589,43.3834,33.257,16.3039,PASS,134.6817,4931259415,7.0665,-9.7765,-27.2577
AMZN,2026-04-01,210.57,199.79,208.5841,5.5945,15.7681,28.5249,28.8416,REPAIR,-6.2388,9595280871,10.9607,18.5829,27.3971
AMZN,2026-05-28,274,259.88,279.1764,6.3478,27.6272,28.649,19.916,PASS,18.4738,11460252212,-7.3759,-11.8577,-12.3577
META,2026-03-31,572.13,508.72,552.0997,20.8679,27.3492,22.1594,41.8059,DEEP-FAIL,-16.6243,9453129576,7.0421,17.3824,6.953
META,2026-05-27,635.255,600.97,636.8729,13.2997,19.3561,28.0744,25.5593,REPAIR,-4.9036,10656921914,-1.9323,-10.118,-13.3812
META,2026-06-03,622.98,573.23,620.5376,15.5701,16.4733,25.4729,27.7232,REPAIR,-6.1692,9843532857,-8.347,-8.8927,-3.6422
META,2026-06-16,600.21,572.59,544.9613,21.1661,15.4356,28.5511,29.3068,REPAIR,-8.5828,10704745230,-7.0875,2.1159,7.6307
GOOG,2026-03-31,286.86,263.69,279.2915,7.4418,33.4282,18.9192,34.6851,REPAIR,8.5394,5948021059,9.719,16.5969,33.1451
